id,subject,subject_en,domain,domain_en,name,type,age_range_start,age_range_end,stage,description,evidence,assessment_prompt,cn_standards,source_gap_id,origin
mtc_144,物理,Physics,运动和相互作用,Motion & Interaction,力的概念与三要素,CONCEPTUAL,12,13,第四学段(7~9年级),理解力是物体对物体的作用（力不能脱离物体存在），知道力的三要素（大小方向作用点）决定力的作用效果。,能说出力的定义和力的作用是相互的；能说出力的三要素；能判断力的作用效果（改变形状或运动状态）,让 {{name}} 说说脚踢球时脚和球之间有没有力的作用，踢球前后球的什么发生了改变。,moe-2022-physics:S4.MM.04,G-JH-PHYS-02,upstream_adapt
mtc_145,物理,Physics,运动和相互作用,Motion & Interaction,力的示意图与测量,REPRESENTATIONAL,12,13,第四学段(7~9年级),会用力的示意图（带箭头的线段）表示力的三要素，学会用弹簧测力计测量力的大小。,能画出简单受力情况的力的示意图；能正确使用弹簧测力计测力；能区分弹簧测力计的量程和分度值,给 {{name}} 一个放在斜面上的物体，请他画出重力和支持力的示意图。,moe-2022-physics:S4.MM.05,G-JH-PHYS-02,upstream_adapt
mtc_146,物理,Physics,运动和相互作用,Motion & Interaction,重力（G=mg）,CONCEPTUAL,12,14,第四学段(7~9年级),理解重力是由于地球吸引而使物体受到的力，知道重力的方向竖直向下，掌握重力与质量的关系 G=mg（g≈10 N/kg）。,能说出重力的产生原因和方向；能用 G=mg 进行计算；能区分质量（kg）和重力（N）,让 {{name}} 算一个质量为 5 kg 的物体受到的重力是多少（g 取 10 N/kg），再说重力的方向。,moe-2022-physics:S4.MM.06,G-JH-PHYS-02,upstream_adapt
mtc_147,物理,Physics,运动和相互作用,Motion & Interaction,弹力与弹簧测力计原理,CONCEPTUAL,12,14,第四学段(7~9年级),理解弹力是物体发生弹性形变时产生的力，了解弹簧测力计的原理（在弹性限度内，弹簧的伸长量与拉力成正比）。,能说出弹力产生的条件；能说明弹簧测力计的工作原理；能识别生活中常见的弹力（支持力/拉力/压力）,让 {{name}} 解释为什么撑竿跳的竿子要弯而不断，说说弹力是怎么产生的。,moe-2022-physics:S4.MM.07,G-JH-PHYS-02,upstream_adapt
mtc_148,物理,Physics,运动和相互作用,Motion & Interaction,摩擦力·种类与影响因素,CONCEPTUAL,12,14,第四学段(7~9年级),理解滑动摩擦力是阻碍相对运动的力，知道影响滑动摩擦力大小的因素（压力大小和接触面粗糙程度），了解静摩擦和滚动摩擦。,能说出影响滑动摩擦力大小的两个因素；能用控制变量法分析摩擦力实验；能区分滑动摩擦和滚动摩擦,让 {{name}} 分析在冰面上走路容易滑倒的原因，说说可以怎么增大摩擦防滑。,moe-2022-physics:S4.MM.08,G-JH-PHYS-02,upstream_adapt
mtc_149,物理,Physics,运动和相互作用,Motion & Interaction,增大和减小摩擦的方法,PROCEDURAL,12,14,第四学段(7~9年级),能分析生活中增大有益摩擦（鞋底花纹/刹车）和减小有害摩擦（润滑油/滚动轴承）的方法。,能举出增大摩擦的实例和方法；能举出减小摩擦的实例和方法；能解释为什么有些地方要加润滑油,让 {{name}} 说说自行车哪些地方需要增大摩擦、哪些地方需要减小摩擦，分别用了什么方法。,moe-2022-physics:S4.MM.09,G-JH-PHYS-02,cn_only
mtc_150,物理,Physics,运动和相互作用,Motion & Interaction,牛顿第一定律与惯性,CONCEPTUAL,13,14,第四学段(7~9年级),理解牛顿第一定律（一切物体在没有受到力的作用时，总保持静止或匀速直线运动状态），理解惯性是物体保持原有运动状态的性质。,能说出牛顿第一定律的内容；能说出惯性是物体的固有属性（与是否受力无关）；能用惯性解释生活现象,让 {{name}} 解释为什么汽车急刹车时人会往前倾倒，说说这跟惯性有什么关系。,moe-2022-physics:S4.MM.10,G-JH-PHYS-02,upstream_adapt
mtc_151,物理,Physics,运动和相互作用,Motion & Interaction,二力平衡的条件,CONCEPTUAL,13,14,第四学段(7~9年级),理解二力平衡的条件（同体等大反向共线），能判断两个力是否平衡，能用二力平衡知识分析物体的受力状态。,能说出二力平衡的四个条件；能判断给定的两个力是否平衡；能用二力平衡求未知力的大小或方向,让 {{name}} 判断一个匀速下降的降落伞受到的重力和阻力是否平衡，说说判断理由。,moe-2022-physics:S4.MM.11,G-JH-PHYS-02,upstream_adapt
mtc_152,物理,Physics,运动和相互作用,Motion & Interaction,压强的概念与固体压强,CONCEPTUAL,13,14,第四学段(7~9年级),理解压强是物体单位面积上受到的压力，掌握压强公式 p=F/S，知道增大和减小压强的方法。,能用 p=F/S 计算压强；能说明压力和压强的区别；能举出增大和减小压强的生活实例,让 {{name}} 解释为什么书包带要做得宽一些，菜刀的刀刃要磨得很薄。,moe-2022-physics:S4.MM.12,G-JH-PHYS-02,cn_only
mtc_153,物理,Physics,运动和相互作用,Motion & Interaction,液体压强的特点,CONCEPTUAL,13,14,第四学段(7~9年级),理解液体内部向各个方向都有压强，知道液体压强随深度增加而增大、与液体密度有关，了解液体压强公式 p=ρgh。,能说出液体压强的特点（向各方向都有、随深度增大）；能用 p=ρgh 进行简单计算；能用 U 形管压强计探究液体压强,让 {{name}} 解释为什么深海潜水需要特制的潜水服，说说液体压强跟什么有关。,moe-2022-physics:S4.MM.13,G-JH-PHYS-02,cn_only
mtc_154,物理,Physics,运动和相互作用,Motion & Interaction,大气压强的存在与测量,CONCEPTUAL,13,14,第四学段(7~9年级),了解大气压强的存在（马德堡半球实验），知道标准大气压的值（约 10⁵ Pa），了解大气压随高度减小。,能用实验证明大气压的存在；能说出标准大气压的值；能解释吸盘/吸管/钢笔吸墨水等大气压现象,让 {{name}} 解释为什么用吸管能把饮料吸上来，如果用针把纸盒上方扎个孔会怎样。,moe-2022-physics:S4.MM.14,G-JH-PHYS-02,cn_only
mtc_155,物理,Physics,运动和相互作用,Motion & Interaction,流体压强与流速的关系,CONCEPTUAL,13,15,第四学段(7~9年级),了解流体（气体和液体）中流速越大的位置压强越小，能用流体压强与流速的关系解释飞机升力、火车站安全线等现象。,能说出流速与压强的关系（流速大压强小）；能解释飞机获得升力的原因；能解释火车站安全线的规定,让 {{name}} 解释为什么火车快速经过时人不能站得太近，用两张纸条做实验说明。,moe-2022-physics:S4.MM.15,G-JH-PHYS-02,cn_only
mtc_156,物理,Physics,运动和相互作用,Motion & Interaction,浮力的概念与产生原因,CONCEPTUAL,13,14,第四学段(7~9年级),理解浮力是液体（或气体）对浸入其中的物体向上托的力，知道浮力产生的原因是液体对物体上下表面的压力差。,能说出浮力的定义和方向（竖直向上）；能用弹簧测力计测浮力（称重法 F浮=G-F'）；能说明浮力产生的原因,让 {{name}} 说说把一个物体浸入水中后弹簧测力计的示数为什么会变小。,moe-2022-physics:S4.MM.16,G-JH-PHYS-02,cn_only
mtc_157,物理,Physics,运动和相互作用,Motion & Interaction,阿基米德原理,CONCEPTUAL,13,14,第四学段(7~9年级),掌握阿基米德原理：浸在液体中的物体受到的浮力大小等于它排开液体所受的重力（F浮=G排=ρ液gV排），能用公式计算浮力。,能用 F浮=ρ液gV排 计算浮力；能区分 V排 和 V物；能说明浮力大小与哪些因素有关（液体密度和排开体积）,让 {{name}} 算一算一个体积为 100 cm³ 的铁块完全浸没在水中受到的浮力是多少。,moe-2022-physics:S4.MM.17,G-JH-PHYS-02,cn_only
mtc_158,物理,Physics,运动和相互作用,Motion & Interaction,物体的浮沉条件,CONCEPTUAL,13,15,第四学段(7~9年级),理解物体的浮沉取决于浮力和重力的大小关系（F浮>G 上浮、F浮=G 漂浮/悬浮、F浮<G 下沉），能用密度比较判断浮沉。,能用浮力和重力的比较判断浮沉；能用物体密度和液体密度的比较判断浮沉；能分析漂浮悬浮下沉的条件,让 {{name}} 判断一个新鲜鸡蛋放入清水中会怎样，加入足量盐搅拌后会怎样，说说原因。,moe-2022-physics:S4.MM.18,G-JH-PHYS-02,cn_only
mtc_159,物理,Physics,运动和相互作用,Motion & Interaction,声音的产生与传播,CONCEPTUAL,12,13,第四学段(7~9年级),理解声音由物体振动产生，声音的传播需要介质（气体液体固体均能传声，真空不能传声），了解声音在不同介质中的传播速度不同。,能说出声音的产生条件（振动）；能说出声音传播需要介质；能说出声音在空气中传播速度约 340 m/s,让 {{name}} 解释为什么宇航员在月球上即使面对面也必须用无线电对话。,moe-2022-physics:S4.MM.19,G-JH-PHYS-02,cn_only
mtc_160,物理,Physics,运动和相互作用,Motion & Interaction,声音的特性·音调响度音色,CONCEPTUAL,12,13,第四学段(7~9年级),理解音调（声音的高低，由频率决定）、响度（声音的大小，由振幅决定）和音色（声音的品质，由发声体本身决定）三个特性。,能区分音调响度和音色；能说明音调与频率的关系；能说明响度与振幅的关系,让 {{name}} 说说女高音的「高」和男低音的「低」指的是什么，大喇叭声音的「大」又指的是什么。,moe-2022-physics:S4.MM.20,G-JH-PHYS-02,cn_only
mtc_161,物理,Physics,运动和相互作用,Motion & Interaction,噪声及其防治,CONCEPTUAL,12,14,第四学段(7~9年级),了解噪声的定义（发声体做无规则振动发出的声音）和等级（分贝），掌握防治噪声的三种途径（在声源处减弱、在传播过程中减弱、在人耳处减弱）。,能说出噪声的危害；能说出防治噪声的三种途径；能举出每种途径的生活实例,让 {{name}} 说说住在马路边怎么减小噪声的影响，分别用到了哪几种方法。,moe-2022-physics:S4.MM.21,G-JH-PHYS-02,cn_only
mtc_162,物理,Physics,运动和相互作用,Motion & Interaction,光的直线传播,CONCEPTUAL,12,13,第四学段(7~9年级),理解光在同种均匀介质中沿直线传播，能用光的直线传播解释小孔成像、日食月食、影子的形成等现象。,能说出光沿直线传播的条件；能解释小孔成像的特点（倒立实像）；能解释日食月食和影子的形成,让 {{name}} 说说为什么影子的形成和日食都能用光的直线传播来解释。,moe-2022-physics:S4.MM.22,G-JH-PHYS-02,cn_only
mtc_163,物理,Physics,运动和相互作用,Motion & Interaction,光的反射定律与平面镜成像,CONCEPTUAL,12,13,第四学段(7~9年级),掌握光的反射定律（三线共面、两线分居、两角相等），理解平面镜成像的特点（等大正立虚像、像物关于镜面对称）。,能用反射定律作光路图；能说出平面镜成像的五个特点；能根据成像特点画出物体的像,让 {{name}} 站在镜子前 1 米处，说说他的像离镜面多远、像的大小跟本人比怎样。,moe-2022-physics:S4.MM.23,G-JH-PHYS-02,cn_only
mtc_164,物理,Physics,运动和相互作用,Motion & Interaction,光的折射规律,CONCEPTUAL,12,14,第四学段(7~9年级),理解光从一种介质斜射入另一种介质时传播方向会改变（折射），掌握折射规律（空气中角大），能用折射解释水中筷子弯折、池水变浅等现象。,能说出光折射的基本规律；能用折射解释水中物体看上去变浅的原因；能画出光从空气进入水中的折射光路图,让 {{name}} 解释为什么池水看起来比实际浅，在岸上看水里的鱼比实际位置偏高还是偏低。,moe-2022-physics:S4.MM.24,G-JH-PHYS-02,cn_only
mtc_165,物理,Physics,运动和相互作用,Motion & Interaction,凸透镜成像规律,CONCEPTUAL,13,15,第四学段(7~9年级),掌握凸透镜成像规律（u>2f 倒立缩小实像/照相机，f<u<2f 倒立放大实像/投影仪，u<f 正立放大虚像/放大镜），了解凸透镜对光有会聚作用。,能说出凸透镜成像的三种情况；能判断物距变化时像的变化；能将成像规律与照相机投影仪放大镜对应,让 {{name}} 说说照相机、投影仪和放大镜分别利用了凸透镜的哪种成像情况。,moe-2022-physics:S4.MM.25,G-JH-PHYS-02,cn_only
mtc_166,物理,Physics,运动和相互作用,Motion & Interaction,电流与电路的组成,CONCEPTUAL,13,14,第四学段(7~9年级),理解电流的形成（电荷的定向移动）和方向规定（正电荷移动方向），掌握电路的基本组成（电源导线开关用电器），能画简单电路图。,能说出电流的形成和方向规定；能画出简单电路图；能判断电路的三种状态（通路断路短路）,让 {{name}} 画一个含电池、开关和灯泡的简单电路图，说说闭合和断开开关时是什么状态。,moe-2022-physics:S4.MM.26,G-JH-PHYS-02,upstream_adapt
mtc_167,物理,Physics,运动和相互作用,Motion & Interaction,串联与并联电路,CONCEPTUAL,13,14,第四学段(7~9年级),理解串联电路（各元件逐个顺次连接，电流只有一条路径）和并联电路（各元件并列连接，电流有多条路径）的特点，能识别和分析串并联电路。,能区分串联和并联电路；能画串并联电路图；能说出串联和并联电路的电流和电压规律,给 {{name}} 一个含两个灯泡的电路，请他判断是串联还是并联，说说取下一个灯泡另一个会怎样。,moe-2022-physics:S4.MM.27,G-JH-PHYS-02,upstream_adapt
mtc_168,物理,Physics,运动和相互作用,Motion & Interaction,电压与电压表的使用,PROCEDURAL,13,14,第四学段(7~9年级),理解电压是使电路中形成电流的原因，掌握电压表的使用方法（并联在被测电路两端、电流从正接线柱流入），了解常见电压值。,能说出电压的作用和单位；能正确连接电压表测量电压；能说出一节干电池和家庭电路的电压值,让 {{name}} 说说电压表应该怎么接到电路里（串联还是并联），一节干电池的电压是多少。,moe-2022-physics:S4.MM.28,G-JH-PHYS-02,upstream_adapt
mtc_169,物理,Physics,运动和相互作用,Motion & Interaction,电阻与滑动变阻器,CONCEPTUAL,13,14,第四学段(7~9年级),理解电阻是导体对电流的阻碍作用，知道影响电阻大小的因素（材料长度横截面积温度），了解滑动变阻器的原理和使用方法。,能说出电阻的定义和单位；能分析影响电阻大小的因素；能正确使用滑动变阻器改变电路中的电流,让 {{name}} 说说一根铜线和一根铁线（同粗同长）哪个电阻大，滑动变阻器是怎么改变电阻的。,moe-2022-physics:S4.MM.29,G-JH-PHYS-02,upstream_adapt
mtc_170,物理,Physics,运动和相互作用,Motion & Interaction,欧姆定律,CONCEPTUAL,13,15,第四学段(7~9年级),掌握欧姆定律：导体中的电流与导体两端电压成正比、与导体的电阻成反比（I=U/R），能运用欧姆定律分析和计算电路问题。,能用 I=U/R 计算电流电压和电阻；能用欧姆定律分析串并联电路；能进行伏安法测电阻的实验,让 {{name}} 算一段电阻为 10 Ω 的导体两端加 6 V 电压时通过的电流是多少。,moe-2022-physics:S4.MM.30,G-JH-PHYS-02,upstream_adapt
mtc_171,物理,Physics,运动和相互作用,Motion & Interaction,简单磁现象与磁场,CONCEPTUAL,13,14,第四学段(7~9年级),了解磁体的性质（吸铁性指向性磁极间的相互作用），理解磁极间的相互作用规律（同名磁极相斥、异名磁极相吸），理解磁体周围存在磁场。,能说出磁体的基本性质和磁极间的相互作用规律；能用磁感线描述磁场分布；能判断条形磁铁和 U 形磁铁的磁感线,让 {{name}} 解释指南针为什么总能指南北方向，说说磁极间的相互作用规律。,moe-2022-physics:S4.MM.31,G-JH-PHYS-02,upstream_adapt
mtc_172,物理,Physics,运动和相互作用,Motion & Interaction,电流的磁效应·奥斯特实验,CONCEPTUAL,13,15,第四学段(7~9年级),理解奥斯特实验揭示了通电导线周围存在磁场（电流的磁效应），能用安培定则判断通电螺线管的磁极。,能描述奥斯特实验及其意义；能用安培定则（右手螺旋定则）判断通电螺线管的磁极；能说明电磁铁磁性强弱与什么有关,让 {{name}} 用安培定则判断一个给定绕线方向的通电螺线管的 N 极在哪边。,moe-2022-physics:S4.MM.32,G-JH-PHYS-02,upstream_adapt
mtc_173,物理,Physics,运动和相互作用,Motion & Interaction,电磁铁及其应用,PROCEDURAL,13,15,第四学段(7~9年级),了解电磁铁的原理（通电螺线管加铁芯增强磁性）和优点（磁性的有无强弱方向可控制），了解电磁继电器的原理和应用。,能说出影响电磁铁磁性强弱的因素；能说明电磁铁的优点；能解释电磁继电器的工作原理,让 {{name}} 说说电磁铁的磁性强弱可以怎么改变，电磁继电器在电路里起什么作用。,moe-2022-physics:S4.MM.33,G-JH-PHYS-02,cn_only
mtc_174,物理,Physics,运动和相互作用,Motion & Interaction,电磁感应与发电机,CONCEPTUAL,13,15,第四学段(7~9年级),理解法拉第发现的电磁感应现象（闭合电路的一部分导体在磁场中做切割磁感线运动时产生感应电流），了解发电机的工作原理。,能说出产生感应电流的条件；能解释发电机的工作原理（电磁感应）；能区分发电机和电动机的原理,让 {{name}} 说说发电机是根据什么原理制成的，它把什么能转化成什么能。,moe-2022-physics:S4.MM.34,G-JH-PHYS-02,upstream_adapt
mtc_175,物理,Physics,运动和相互作用,Motion & Interaction,磁场对电流的作用与电动机,CONCEPTUAL,13,15,第四学段(7~9年级),理解通电导体在磁场中受到力的作用（磁场对电流的作用），了解电动机的工作原理（通电线圈在磁场中受力转动）。,能说明通电导体在磁场中受力的方向与什么有关；能解释电动机的工作原理；能区分电动机和发电机的能量转化,让 {{name}} 说说电动机是根据什么原理制成的，它和发电机在原理上有什么不同。,moe-2022-physics:S4.MM.35,G-JH-PHYS-02,upstream_adapt
mtc_176,物理,Physics,能量,Energy,动能及其影响因素,CONCEPTUAL,13,14,第四学段(7~9年级),理解动能是物体由于运动而具有的能，知道动能的大小与物体的质量和速度有关（质量越大速度越大动能越大）。,能说出动能的定义；能分析影响动能大小的因素；能判断不同物体的动能大小关系,让 {{name}} 比较一辆满载的卡车和一辆空车以同样速度行驶哪个动能更大，说说原因。,moe-2022-physics:S4.EN.01,G-JH-PHYS-03,upstream_adapt
mtc_177,物理,Physics,能量,Energy,势能·重力势能与弹性势能,CONCEPTUAL,13,14,第四学段(7~9年级),理解重力势能是物体由于被举高而具有的能（与质量和高度有关），弹性势能是物体由于发生弹性形变而具有的能（与形变程度有关）。,能区分重力势能和弹性势能；能分析影响势能大小的因素；能举出具有势能的实例,让 {{name}} 说说拉长的弹簧和放在高处的重物分别具有什么形式的势能。,moe-2022-physics:S4.EN.02,G-JH-PHYS-03,upstream_adapt
mtc_178,物理,Physics,能量,Energy,机械能的转化与守恒,META,13,15,第四学段(7~9年级),理解动能和势能可以相互转化（如滚摆、过山车、抛体运动），在没有摩擦等阻力的情况下机械能守恒。,能分析动能和势能的相互转化过程；能解释过山车/滚摆/皮球落地反弹的能量转化；能判断机械能是否守恒,让 {{name}} 分析过山车从最高点冲下来的过程中动能和势能是怎么转化的。,moe-2022-physics:S4.EN.03,G-JH-PHYS-03,upstream_adapt
mtc_179,物理,Physics,能量,Energy,内能的概念与改变方式,CONCEPTUAL,13,14,第四学段(7~9年级),理解内能是物体内所有分子热运动的动能和分子势能的总和，知道改变内能的两种方式（做功和热传递），这两种方式对改变内能是等效的。,能说出内能的定义和影响内能的因素（温度）；能区分做功和热传递两种改变内能的方式；能判断某过程是用什么方式改变内能的,让 {{name}} 说说冬天搓手让手变暖和跟把手放在热水里变暖，分别是什么方式改变内能。,moe-2022-physics:S4.EN.04,G-JH-PHYS-03,cn_only
mtc_180,物理,Physics,能量,Energy,比热容的概念与意义,CONCEPTUAL,13,15,第四学段(7~9年级),理解比热容是物质的特性（反映物质吸热或放热的能力），知道水的比热容最大，能用比热容解释生活中的现象。,能说出比热容的物理意义；能说明水的比热容大的实际意义；能解释沿海地区昼夜温差小的原因,让 {{name}} 解释为什么沿海地区昼夜温差比内陆地区小，用水浴法加热有什么好处。,moe-2022-physics:S4.EN.05,G-JH-PHYS-03,cn_only
mtc_181,物理,Physics,能量,Energy,热量的计算（Q=cmΔt）,PROCEDURAL,13,15,第四学段(7~9年级),掌握热量计算公式 Q=cmΔt（吸收或放出的热量=比热容×质量×温度变化），能运用公式进行计算。,能用 Q=cmΔt 计算物体吸收或放出的热量；能根据公式分析影响热量的因素；能进行简单的热平衡计算,让 {{name}} 算一算把 2 kg 水从 20°C 加热到 80°C 需要吸收多少热量（c水=4.2×10³ J/(kg·°C)）。,moe-2022-physics:S4.EN.06,G-JH-PHYS-03,cn_only
mtc_182,物理,Physics,能量,Energy,温度内能与热量的辨析,META,13,15,第四学段(7~9年级),能正确区分温度（分子热运动的剧烈程度）、内能（所有分子的动能和势能之和）和热量（热传递过程中内能的改变量）三个概念。,能区分温度内能和热量的含义；能判断「温度越高热量越多」是否正确；能分析物体吸热温度是否一定升高,考考 {{name}}：说一个物体含有多少热量对不对？晶体熔化时吸热但温度不变，内能变了吗？,moe-2022-physics:S4.EN.07,G-JH-PHYS-03,cn_only
mtc_183,物理,Physics,能量,Energy,家庭电路与安全用电,CONCEPTUAL,13,15,第四学段(7~9年级),了解家庭电路的组成（进户线电能表总开关保险丝插座用电器），知道火线和零线的区别，了解安全电压和安全用电常识。,能画出家庭电路的组成框图；能说出保险丝和空气开关的作用；能说出安全用电的基本常识,让 {{name}} 说说家庭电路由哪几部分组成，如果家里电路跳闸了可能是什么原因。,moe-2022-physics:S4.EN.08,G-JH-PHYS-03,cn_only
mtc_184,物理,Physics,能量,Energy,电功与电功率,PROCEDURAL,13,15,第四学段(7~9年级),理解电功（电流做的功 W=UIt）和电功率（电流做功快慢 P=UI），掌握额定功率和实际功率的区别，能进行简单计算。,能用 W=UIt 计算电功；能用 P=UI 计算电功率；能区分额定功率和实际功率,让 {{name}} 算一算一个标有「220V 100W」的灯泡正常工作 10 小时消耗多少电能。,moe-2022-physics:S4.EN.09,G-JH-PHYS-03,cn_only
mtc_185,物理,Physics,能量,Energy,焦耳定律与电热,CONCEPTUAL,13,15,第四学段(7~9年级),理解电流的热效应（电流通过导体时发热），了解焦耳定律（Q=I²Rt），能解释电热器的原理和防止电热危害的方法。,能说出焦耳定律的内容和公式；能用焦耳定律解释电热器的工作原理；能提出防止电热危害的方法,让 {{name}} 说说电热水壶和电饭锅利用了什么原理，为什么电视机背后要有散热孔。,moe-2022-physics:S4.EN.10,G-JH-PHYS-03,cn_only
mtc_186,物理,Physics,实验探究,Scientific Inquiry,长度的测量与误差,PROCEDURAL,12,13,第四学段(7~9年级),学会使用刻度尺测量长度，掌握正确读数方法（视线与尺面垂直、估读到分度值下一位），理解误差与错误的区别。,能正确使用刻度尺读数（含估读）；能区分误差和错误；能说出减小误差的方法（多次测量取平均值）,让 {{name}} 用刻度尺测出课桌的长度，读出测量结果并说出他是怎么估读的。,moe-2022-physics:S4.IN.01,G-JH-PHYS-04,upstream_adapt
mtc_187,物理,Physics,实验探究,Scientific Inquiry,探究光的反射与平面镜成像,PROCEDURAL,12,13,第四学段(7~9年级),能设计并完成探究光的反射规律的实验和探究平面镜成像特点的实验（用玻璃板代替平面镜、用等大的物体比较像的大小）。,能设计探究反射规律的实验方案；能设计探究平面镜成像特点的实验；能如实记录实验数据并得出结论,让 {{name}} 设计一个验证平面镜成像时像与物等大的实验，说说为什么用玻璃板不用平面镜。,moe-2022-physics:S4.IN.02,G-JH-PHYS-04,cn_only
