gap_id,subject,subject_en,stage,cn_domain,gap_type,upstream_status,severity,action,jh_base,note
G-SH-ZH-01,语文,Chinese,高中(10~12年级),阅读与鉴赏(各类文体深度阅读),progression,延伸自初中阅读 mtc_133~135(说明文/小说/议论文)，深化到诗词鉴赏和批判性阅读,高,初高中进阶,mtc_133~mtc_135,从初中文体阅读进阶到文学鉴赏和思辨性阅读
G-SH-ZH-02,语文,Chinese,高中(10~12年级),表达与交流(复杂议论/研究性写作),progression,延伸自初中写作 mtc_136~141(记叙/说明/议论/实用文)，深化到复杂论证和研究性写作,高,初高中进阶,mtc_136~mtc_141,从初中基础议论进阶到有思想深度的复杂论证和文献运用
G-SH-ZH-03,语文,Chinese,高中(10~12年级),文言文与古诗文(深度阅读),progression,延伸自初中文言文 mtc_142~144(实词虚词/鉴赏/背诵)，深化到诸子散文史传,高,初高中进阶,mtc_142~mtc_144,从初中浅易文言文进阶到诸子散文/史传的深度阅读
G-SH-ENG-01,英语,English,高中(10~12年级),综合语言运用能力,progression,延伸自初中英语 mtc_234~241(听说读写/语法/主题)，从三级目标进阶到高阶综合运用,中,初高中进阶,mtc_281~mtc_288,从初中基础语言技能进阶到长难语篇理解和复杂写作
G-SH-IT-01,信息技术,Information Technology,高中(10~12年级),数据与计算(必修一),progression,延伸自初中信息科技 mtc_242~243(互联网/网页)，深化到数据分析和Python编程,高,初高中进阶,mtc_289~mtc_290,从初中互联网应用进阶到数据采集分析/算法与程序实现(Python)
G-SH-IT-02,信息技术,Information Technology,高中(10~12年级),信息系统与社会(必修二),progression,延伸自初中信息科技 mtc_244~247(物联网/AI)，深化到信息系统架构和信息伦理,高,初高中进阶,mtc_291~mtc_294,从初中物联网/AI体验进阶到信息系统组成/网络安全/信息社会伦理
G-SH-GT-01,通用技术,General Technology,高中(10~12年级),技术与设计1(产品设计过程),missing_subject,通用技术为中国高中特色学科，初中及上游均无对应学科,高,新建学科,—,初中科学 mtc_115~118 有技术与工程基础但非独立学科，高中设为独立必修
G-SH-GT-02,通用技术,General Technology,高中(10~12年级),技术与设计2(结构/流程/系统/控制),missing_subject,结构/流程/系统/控制为通用技术核心，初中及上游无对应,高,新建学科,—,
G-SH-PE-01,体育与健康,PE & Health,高中(10~12年级),运动技能·体能·健康教育,progression,延伸自初中体育(未单独建微主题)，增加专项运动深度,中,初高中进阶,—,
G-SH-ART-01,艺术,Art,高中(10~12年级),音乐/美术(模块化选修),progression,延伸自小学/初中艺术 mtc_063~075，高中为模块化选修,低,初高中进阶,mtc_063~mtc_075,
